"Pertanyaan","Jawaban Benar","Jawaban Salah 1","Jawaban Salah 2","Jawaban Salah 3","Jawaban Salah 4"
"Yang bukan merupakan contoh validasi:","Pemeriksaan KTP direktur, NPWP perusahaan, SIUP, dan berkas lainnya dalam pendaftaran lelang pengadaan barang dan jasa di suatu instansi pemerintah","Pengukuran kemampuan siswa dalam matematika. Dalam mengukur kemampuan siswa mengenai pelajaran matematika, kemudian dengan diberikan soal bersifat kalimat panjang begitu berbelit-belit. Hal itu bertujuan untuk memberikan kesukaran untuk menangkap maknanya, hasil akhirnya, siswa tidak dapat menjawab, akibat tidak memahami per-tanyaannya.","Pengukuran  prestasi belajar. Contoh variabel prestasi belajar dan motivasi bisa diukur dengan tes ataupun dengan kuesioner.","Untuk menguji keabsahan data terkait pemanfaatan Dana Desa di Kampung Sukamaju yang telah terkumpul maka peneliti menggunakan teknik triangulasi sumber dengan langkah yang dipergunakan adalah mengecek, membandingkan informasi yang diperoleh, serta melakukan analysis melalui sumber yang berbeda.","Pengecekan derajat kepercayaan penemuan akan pemanfaatan Dana Desa di Kampung Sukamaju menemukan hasil penelitian dengan beberapa teknik pengumpulan data yaitu mayoritas di pergunakan untuk membangun infrastruktur berupa Jalan Desa."
"Berikut adalah jenis-jenis validasi data penelitian, kecuali","Inspeksi","Prediktif","Konstruk","Eksternal","Isi"
"Pernyataan yang tidak membawa pengertian mengenai validasi:","Pemeriksaan tentang kebenaran laporan, pernyataan, perhitungan uang dan lain sebagainya.","Suatu tindakan pembuktian, artinya tindakan yang merupakan suatu pekerjaan “dokumentasi”.","Tata cara atau metode pembuktian harus dengan “cara yang sesuai”, artinya proses pembuktian tersebut ada tata cara atau metodenya, sesuai dengan prosedur yang tercantum dalam SOP.","“Obyek” pembuktian adalah tiap-tiap bahan, proses, prosedur, kegiatan, sistem, perlengkapan atau mekanisme yang digunakan dalam produksi dan pengawasan mutu (ruang lingkup).","Bahwa seluruh obyek pengujian akan senantiasa mencapai hasil yang diinginkan secara terus menerus (konsisten)."
"Salah satu manfaat validasi data:","Peningkatan akurasi karena mengurangi risiko kesalahan atau kekeliruan dari eror dalam data","Peningkatan produktivitas karena memastikan kita mendapatkan hasil penelitian terbaik","Memungkinkan untuk mengurangi biaya pada saat penelitian dijalankan","Hasil kajian yang dilakukan dapat lebih baik berdasarkan kapasitas seorang peneliti","Membantu dalam pengambilan keputusan suatu kebijakan, misalnya membatasi pertumbuhan penjualan dan keuntungan
"
"Yang bukan merupakan metode validasi data:","Entri ganda","Pemeriksaan tipe","Pemeriksaan panjang","Pemeriksaan format","Pencarian (Lookup)"
"Dalam melakukan perancangan basis data, salah satu manfaat dari perancangan database adalah mampu melihat bagaimana data dalam sebuah sistem database dalam tingkatan/level tertentu. Hal ini disebut dengan:","Abstraksi data","Taksonomi data","Hirarki data","Klasifikasi data","Arsitektur Data"
"Dalam perancangan DBMS, salah satu bagian fundamental yang harus disusun ialah data catalog. Dari rincian berikut, mana yang termasuk manfaat dari adanya data catalog antara lain:
1. Mudah dalam mengidentifikasi redundansi dan inkonsistensi data
2. Menghemat efisiensi memori data
3. Memastikan integrasi data
4. Memudahkan dalam melakukan backup dan recovery data","1 dan 3","1, 2, 3, 4","1, dan 2","2 dan 4","3 dan 4"
"Perancangan basis data membutuhkan komponen-komponen penyusun basis data, salah satunya ialah Record. Yang termasuk kedalam pengertian Record yang benar ialah:","Kumpulan beberapa field dalam satu basis data","Kumpulan beberapa karakter dalam satu basis data","Kumpulan file yang menggambarkan satu kesatuan dalam satu basis data","Kumpulan basis data yang tersusun dan saling berinteraksi","Bagian terkecil yang menyusun satu basis data"
"Salah satu pendekatan dalam membangun rancangan basis data ialah bottom-up, dari pernyataan berikut yang termasuk kedalam karakteristik pendekatan bottom-up ialah:
1. Cocok digunakan bagi basis data yang memiliki relasi yang cukup sederhana dan memiliki atribute data yang sedikit
2. Dibutuhkan normalisasi untuk mengidentifikasi relasi dan atribut data
3. Diilustrasikan menggunakan konsep Entity Relation Model
4. Tangguh dalam melakukan perancangan basis data yang cukup kompleks","1 dan 2","1 dan 3","2 dan 3","3 dan 4","2 dan 4"
"Sebutkan urutan tahapan dalam perancangan basis data menggunakan System Development Lifecycle (SDLC) yang benar:
1. Requirements
collection and analysis
2. Database Planning 
3. System Definition
4. Database Design
5. Application Design
6. DBMS Selection
7. Prototyping
8. Implementation
9. Data Conversion and Loading
10. Testing
11. Operational Maintenance","2-3-1-4-5-6-7-8-9-10-11","1-2-3-4-5-6-7-8-9-10-11","2-1-3-4-5-6-7-8-9-10-11","2-4-1-3-5-6-7-8-9-10-11","1-2-3-4-5-6-7-8-10-9-11"
"Diagram yang memberikan struktur logis dari database secara grafis ialah","Entity Relationship Diagram","Data Flow Diagram","Entity Diagram","Architecture Representation","Database Diagram"
"Himpunan entitas yang tidak memiliki atribut yang memadai untuk menjadi sebuah primary key disebut","Weak Entity Set","Strong Entity Set","Strong Variable Set","Weak Record Set","Variant Set"
"Yang termasuk kedalam karakteristik media penyimpanan data SASD (Sequential Access Storage Device) ialah","Tidak dilakukan pengalamatan","Penulisan alamat dapat dilakukan berulang kali","Data dapat disimpan dalam bentuk karakter","Pembacaan tidak harus urut","Data dapat disimpan dalam bentuk blok"
"Salah satu pentingnya melakukan backup data ialah untuk meminimalkan dampak dari adanya Kegagalan Sistem (System Failure). Yang termasuk ke dalam penyebab System Failure ialah:","Transaction Failure, System Crash, Disk Failure","Transaction Failure, Boot Crash, Read Failure","Transaction Crash, System Crash, Data Failure","Transaction Failure, Data Failure, Network Failure","Transaction Crash, Data Error, Connection Error"
"Dari rincian berikut yang termasuk ke dalam karakteristik volatile storage
1. Tidak dapat bertahan saat terjadi kerusakan sistem
2. Letaknya berdekatan dengan CPU
3. Memiliki kapasistas storage yang besar
4. Lambat dalam melakukan pengaksesan","1 dan 2","1 dan 3","2 dan 3","2 dan 4","1 dan 4"
"Strategi Backup Data yang dilakukan untuk menduplikasi hanya data baru dan data yang mengalami perubahan disebut dengan","Differential Backup","Full Backup","Incremental Backup","Continous Backup","Snapshot Backup"
"Fasilitas yang sangat dibutuhkan dari suatu sistem basis data dalam melakukan recovery data ialah
1. Backup Mechanisme
2. Logging Facilities
3. Concurency Checking
4. Transaction Loading","1 dan 2","1 dan 3","2 dan 3","2 dan 4","1 dan 4"
"Kesalahan yang sering terjadi saat melakukan backup data antara lain:
1. Tidak melakukan backup data
2. Melakukan backup data di tempat yang berbeda
3. Melakukan pengujian backup data
4. Tidak menjalankan backup secara teratur
5. Tidak melakukan pelabelan data","1, 4 dan 5","1, 2, 3, dan 4","3 dan 4","2 dan 5","Hanya 1"
"Dari rincial berikut 
1. Menentukan apa yang perlu di-backup 
2. Menentukan file backup yang sesuai dengan data
3. Menetapkan size pencadangan (backup)
4. Menentukan tujuan backup data
Hal-hal yang harus diperhatikan terlebih dahulu dalam melakukan manajemen backup data ialah
","1 dan 4","1 dan 2","2 dan 3","1 dan 3","2 dan 4"
"Proses backup database yang dilakukan saat database sedang aktif dan berjalan disebut ...","Hot Backup","Cold Backup","Logical Backup","Static Backup","Remote Backup"
"Tujuan dari pembuatan model integritas data dalam suatu organisasi ialah","Mencegah user melakukan perubahan yang tidak benar atau tidak terotorisasi","Memberikan hak akses kepada user","Meminimalisir akses data","Menjaga keutuhan data","Mengefisiensi memori dan bandwith"
"Yang termasuk kedalam prinsip dasar pengendalian integritas data antara lain:
1. Memberikan akses dalam kerangka need-to-know basis
2. Pemisahan tugas (separation of duties)
3. Pemeliharaan data
4. Sentraliasi akses","1 dan 2","2 dan 3","1 dan 3","1 dan 4","2 dan 4"
"Yang termasuk kedalam tipe umum autentikasi ialah:
1. What you know? (Password, Pin, dsb)
2. What you have? (Smart card, token device)
3. What you are? (Biometric)
4. Where you are? (GPS)","1, 2, dan 3","1, 2, 3, dan 4","1, dan 3","2, dan 4","4"
"Setiap elemen data paling tidak terbagi ke dalam tiga pihak yang bertanggung jawab dengan level tanggung jawabnya masing-masing yaitu:","Data Owner, Data Custodian, Data User","Data Owner, Data Monitoring, Data User","Data Creator, Data Accessor, Data Analysis","Data Creator, Data Custordian, Data Analysis","Data Owner, Data Accessor, Data User"
"Salah satu jenis rancangan kontrol akses yang memberikan pengguna akses berdasarkan tingkat kerahasian data (Confidentiality) dan tingkat izin pengguna, disebut","Mandatory Access Control","Directional Access Control","Non-discreationary Access Control","Lattice-based Access Control","Role-based Access Control"
"Urutan yang benar mulai dari terendah sampai tertinggi sesuai dengan tingkat kerahasiaan data berdasarkan Military Data Classification adalah
1. Top Secret
2. Secret
3. Sensitive but Unclassified (SBU)
4. Unclassified
5. Confidential","4, 3, 5, 2, 1","1, 2, 3, 4, 5","1, 3, 5, 2, 4","3, 4, 5, 2, 1","5, 4, 3, 2, 1"
"Directional Access Control merupakan salah satu rancangan kontrol akses yang memiliki beberapa kelemahan antara lain:
1. Tingkat perlindungan data rendah
2. Tidak mudah untuk dilakukan skalabilitas
3. Sulit untuk dikelola
4. Pengelolaan akses tidak jelas dan tidak terpusat","1 dan 4","1 dan 2","3 dan 4","1 dan 3","2 dan 4"
"Berikut yang merupakan standar protokol autentikasi terbuka yang telah banyak diimplementasikan dalam mengatur akses pengguna, adalah","Json Web Token (JWT) dan Security Assertion Markup Language (SAML)","OAuth 2.0 dan Universally Unique Identifier (UUID)","Universally Unique Identifier (UUID) dan Lightweight Directory Access Protocol (LDAP)","OpenID Connect (OIDC) dan Hypertext Transfer Protocol (HTTP)","CRAM-MD5 dan Secure Sockets Layer (SSL)"
"Tool apa yang tidak dapat digunakan untuk membuat maupun mengupgrade database ?","Oracle Enterprise Manager Database Control","Database Configuration Assistant","Database Upgrade Assistant","SQL*Plus","Oracle Universal Installer"
"Apa yang akan terjadi jika Anda tidak menjalankan skrip CATALOG.SQL dan CATPROC.SQL setelah membuat database?","Tidak mungkin untuk meng-query tampilan kamus data.","Tidak mungkin membuka database.","Tidak mungkin membuat tabel pengguna apa pun.","Tidak mungkin menggunakan PL / SQL.","Tidak mungkin untuk terhubung sebagai pengguna selain SYS dan SYSTEM."
"Manakah tool berikut ini yang merupakan komponen SQL Server yang menyediakan layanan untuk membuat, memproses, dan mengelola OLAP dan data mining?","Analysis Services","Business Intelligence Developer Studio","SQL Server Management Studio","Windows PowerShell 2.0","SQL Server Database Engine"
"Berikut ini tool SQL Server yang digunakan untuk memeriksa bahwa layanan komponen SQL Server sedang berjalan adalah...","SQL Server Configuration Manager","SQL Server Management Studio (SSMS)","Business Intelligence Development Studio (BIDS)","SQL Server Profiler","Database Engine Tuning Advisor"
"Jenis file apa yang berisi objek data dan database seperti tabel dan indeks?","Data files","Log files","File groups","Binary files","Summary.txt"
"Administrator keamanan Anda telah menentukan bahwa semua Server SQL di organisasi Anda perlu mendengarkan pada port TCP non-default, dan dia tidak ingin pengguna jaringan melihat Server SQL dalam daftar penjelajahan. Tindakan manakah yang paling tepat?","Menghentikan dan menonaktifkan layanan browser di setiap SQL Server","Gunakan Pengelola Konfigurasi di setiap server untuk mengubah setiap instance pada port 50000","Gunakan Pengelola Konfigurasi di setiap server untuk mengubah setiap instance untuk mendengarkan port yang sama","Konfigurasi Layanan Browser SQL untuk menyembunyikan setiap instance","Aktifkan Show Advanced Options menggunakan sp_configure dan gunakan opsi Default TCP port untuk mengkonfigurasi port untuk setiap instance"
"Bulan lalu perusahaan Anda melakukan latihan untuk menstandarkan akun layanan saat Anda sedang berlibur. Anda baru saja me-restart ulang SQL Server setelah menerapkan paket layanan, dan sekarang instance tidak dapat dimulai. Anda memeriksa Windows Event Log dan melihat banyak kesalahan dan Anda tidak dapat membuka log kesalahan tersebut. Apa penyebab yang paling mungkin?","Akun Layanan SQL Server tidak diubah menggunakan SQL Server Configuration Manager","Paket layanan gagal","Kerusakan data","Anda tidak memiliki izin yang tepat ke log kesalahan","Log kealahan terkunci dari semua akun"
"Seorang pengguna bisnis baru saja menelepon untuk mengatakan bahwa datanya tidak diperbarui dalam semalam. Anda memeriksa SQL Server dan melihat bahwa pekerjaan Agen Server SQL yang menjalankan beban data gagal tadi malam. Anda ingin diberi tahu secara otomatis melalui email jika itu terjadi lagi. Manakah dari opsi berikut yang akan memberikan solusi yang paling efisien dan didukung?","Menerapkan Database Mail","Menerapkan SQLMail","Instal mailer SMTP pihak ketiga","Menerapkan Service Broker","Membuat scheduler"
"Suatu desain database harus memenuhi kondisi tidak mengandung anomali, yaitu suatu kejanggalan dari suatu penempatan atribut tertentu dari suatu objek data. Salah satu anomali yang terjadi ketika kita mengubah data pada sebuah record dan berpengaruh terhadap perubahan record yang lain dinamakan ...","Update anomaly","Deletion anomaly","Reuse anomaly","Creation anomaly","Insertion anomaly"
"Anomali pada tabel berikut muncul karena telah menyatukan 2 entitas dalam satu relasi. Anomali yang terjadi ketika kita memodifikasi data tersebut adalah …
link gambar: https://drive.google.com/file/d/1PLNS1hrf_LhsjsfURXk3txQxpR7JVLov/view?usp=sharing
","Tidak dapat menambahkan data karyawan baru yang tidak mengambil kursus","Jika pegawai 200 dihapus maka akan kehilangan informasi tentang keberadaan kursus Audit","Menaikan gaji pegawai 100 tidak mengharuskan kita untuk meng-update record lain","Jika pegawai 200 dihapus maka akan kehilangan informasi tentang waktu selesai kursus Audit","Tidak ada anomali pada tabel tersebut"
"Kondisi ketika kita akan menambahkan data tentang satu entitas,tetapi kita juga diharuskan memasukkan data tentang entitas lain merupakan anomali yang disebut dengan ...","Insertion anomaly","Reuse anomaly","Creation anomaly","Update anomaly","Deletion anomaly"
"link gambar: https://drive.google.com/file/d/1tX7zpiQEBXDST8l87_53zJkBfQ5wY6cI/view?usp=sharing
Gambar tersebut menunjukkan proses normalisasi menjadi …","1NF","2NF","4NF","BCNF","3NF"
"Tujuan dari bentuk normal kesatu (1NF) adalah sebagai berikut, kecuali …","Atribut yang bukan key sudah tergantung penuh terhadap key-nya","Membuang adanya pengulangan (redudansi) data","Menghindari adanya pencatatan null value","Setiap baris dan kolom berisi satu nilai","Repeating group sudah hilang"
"Dalam teori normalisasi database, sebuah relasi yang tidak ketergantungan bergabung adalah bentuk normal yang disebut.....","5NF","2NF","4NF","1NF","3NF"
"Sifat ketergantungan banyak nilai (multivalued dependecy) pada suatu tabel merupakan keterkaitan dengan bentuk normal ke .....","4NF","2NF","1NF","3NF","BCNF"
"Semua atribut selain primary key, secara utuh memiliki Functional Dependency pada primary key, merupakan ciri dari","2NF","4NF","1NF","3NF","BCNF"
"Jika foreign key terdapat di relasi maka nilai foreign key harus cocok pada nilai candidate key suatu tupel di relasi asal (home relation) atau nilai foreign key seluruhnya Null adalah pengertian dari …","Integritas referensial","Integritas domain"," Integritas entitas ","Integritas enterprise","Integritas perusahaan"
"Manakah dari perintah berikut yang digunakan dengan pernyataan Data Control Language (DCL)?","GRANT","SELECT","DELETE","INSERT","UPDATE"
"DCL memberikan perintah untuk melakukan aksi berikut …","Memberi pengaturan akses database","Mendefinisikan struktur data dari tabel","INSERT, UPDATE, atau DELETE suatu record atau data value","Mengubah struktur tabel","Melakukan perintah-perintah yang berhubungan dengan CREATE, INSERT, dan SELECT"
"Manakah perintah di bawah ini yang merupakan bentuk dasar dari perintah GRANT?","GRANT 'privilege list'
ON 'relation name or view name'
TO 'user/role list';","GRANT 'privilege list'
   ON 'user/role list'
   TO 'relation name or view name';","GRANT 'privilege list'
   TO 'user/role list'","GRANT 'privilege list'
   ON 'relation name or view name'
   ON 'user/role list';","GRANT 'privilege list'
TO 'relation name or view name'
TO 'user/role list';"
"Manakah dari pernyataan berikut ini yang digunakan untuk memberikan privilege hanya pada suatu atribut tertentu?","Grant update(budget) on department to Raj","Grant select on employee to Amit","Grant update(budget,salary,Rate) on department to Raj","Grant delete to Amit","Grant insert on employee to Amit"
"Manakah dari pernyataan berikut yang digunakan untuk menghapus privilege dari Amir?","REVOKE UPDATE ON `employee` FROM `Amir`","REMOVE UPDATE ON `department` FROM `Amir`","DELETE SELECT ON `department` FROM `Raj`","GRANT UPDATE ON `employee` FROM `Amir`","GRANT UPDATE ON `employee` TO `Amir`"
"Manakah dari berikut ini yang digunakan untuk memberikan otorisasi penghapusan kepada instructor?","CREATE ROLE instructor;
GRANT DELETE ON takes
TO instructor;","CREATE ROLE instructor ;
GRANT DELETE TO instructor;","CREATE ROLE instructor;
GRANT SELECT ON takes
TO instructor;","CREATE ROLE instructor;
GRANT SELECT ON takes
ON instructor;","CREATE ROLE instructor;
GRANT INSERT ON takes
TO instructor;"
"Manakah dari pernyataan berikut yang benar tentang views?","Jika pengguna membuat view yang tidak dapat diberikan otorisasi, sistem akan mengizinkan request dari pembuat view","Pengguna yang membuat view tidak dapat diberikan otorisasi UPDATE pada view tanpa otorisasi UPDATE pada relasi yang digunakan untuk menentukan view","Pengguna yang membuat view tidak dapat diberikan otorisasi DELETE pada view tanpa otorisasi UPDATE pada relasi yang digunakan untuk menentukan view","Pengguna yang membuat view menerima semua privilege pada view tersebut","Pengguna yang membuat view selalu menerima semua privilege atas view tersebut"
"Sebuah _________ terdiri dari urutan query dan/atau perintah update.","Transaction","Commit","Rollback","Flashback","Abort"
"Manakah dari berikut ini yang membuat transaksi permanen dalam database?","Commit","View","Rollback","Flashback","Undone"
"Untuk membatalkan pekerjaan transaksi setelah commit terakhir, mana yang harus digunakan?","Rollback","Commit","View","Flashback","Abort"
"Transaksi locking yang mengizinkan transaksi lainnya untuk membaca (SELECT) database adalah …","Shared lock","Exclusive lock","Update lock","Write lock","Two-phase locking (2PL)"
"Berdasarkan perintah berikut:
TRANSACTION. . . . .
Commit;
ROLLBACK;
Apa yang dilakukan oleh perintah ROLLBACK?","Tidak melakukan apapun","Membatalkan transaksi sebelum COMMIT","Menghapus semua transaksi","Mengulangi transaksi sebelum COMMIT","Mengulang semua perintah sebelumnya"
"Manakah yang bukan merupakan properti dari transaksi?","Concurrency","Atomicity","Isolation","Durability","Consistency"
"Query yang benar untuk menghapus sebuah kandidat job adalah …","BEGIN TRANSACTION;
GO
DELETE FROM HumanResources.JobCandidate
    WHERE JobCandidateID = 13;
GO
COMMIT TRANSACTION;","BEGIN TRANSACTION;
GO
DELETE FROM HumanResources.JobCandidate
    WHERE JobCandidateID = 13;
GO
ROLLBACK TRANSACTION;","BEGIN TRANSACTION;
GO
DELETE FROM HumanResources.JobCandidate
    WHERE JobCandidateID = 13;
GO
END;","BEGIN TRANSACTION;
GO
DELETE FROM HumanResources.JobCandidate;
GO
COMMIT TRANSACTION;","BEGIN TRANSACTION;
GO
DELETE FROM HumanResources.JobCandidate;
GO
END;"
"Kegagalan suatu proses dalam transaksi tidak akan mempengaruhi transaksi lainnya disebut …","Consistency","Atomicity","Isolation","Durability","Concurrency"
"Pentingnya ketepatan pada pemilihan perangkat lunak DBMS berpengaruh terhadap beberapa hal, kecuali …","menentukan status bonafiditas organisasi pengguna","integrasi data yang diolah","kinerja aplikasi","produktivitas bisnis","proteksi dan antisipasi permasalahan manajemen data"
"Hal yang tidak perlu diperhatikan saat memilih perangkat lunak DBMS adalah","ada tidaknya simbol perangkat lunak","profil aplikasi","fungsi khusus aplikasi","dukungan platform perangkat keras dan sistem operasi","ketahanan dan skalabilitas"
"Evaluasi melalui data diperoleh pengukuran nilai bisnis dalam melacak progres proses bisnis dalam mencapai tujuan dan manfaat organisasi. Mana yang bukan termasuk pengukuran nilai bisnis?","Project execution efficiency measurements","Business agility improvements","Business quality","Business operation quality","Business environment improvements"
"Pengukuran terhadap tingkat efisiensi yang ditingkatkan, contohnya termasuk keakuratan yang ditingkatkan, dan mengurangi waktu dan biaya untuk mengoreksi kesalahan karena kesalahan data.Pernyataan tersebut merupakan definisi dari salah satu pengukuran nilai bisnis, yaitu ... ","Business operation quality","Project execution efficiency measurements","Business agility improvements","Business quality","Business environment improvements"
"Aturan dan standar kualitas data adalah wujud penting dari Metadata. Agar efektif, aturan tersebut perlu dikelola sebagai Metadata. Adapun yang merupakan aturan dan standard kualitas data tersebut adalah sebagai berikut, kecuali…","not tied to business processes and impact","Documented consistently","Defined in terms of Data Quality dimensions","Backed by data analysis","Accessible to all data consumers"
"Berikut mana yang bukan merupakan pendekatan dalam meningkatkan kualitas data?","Melatih konsumen data","Menerapkan Tata Kelola dan Penatagunaan Data","Menuntut data berkualitas tinggi dari penyedia data:","Tentukan dan terapkan aturan","Buat kontrol entri data:"
"Komponen penting dalam mengelola kualitas data adalah mengembangkan metrik yang menginformasikan konsumen data tentang karakteristik kualitas yang penting bagi penggunaan data. Dalam mengembangkan metrik tersebut, analis kualitas data harus memperhitungkan karakteristik ini sebagai berikut, kecuali ...","Conformance to service levels","Controllability","Accountability / Stewardship","Business relevance","Measurability"
"Assesment level pada Data Management Maturity Model, ada beberapa level. Pada level apa yang mencakup kegiatan perencanaan dan tata kelola terpusat, pengelolaan risiko terkait data, metrik kinerja pengelolaan data , dan upaya peningkatan terukur pada kualitas data?","Level 4 Managed","Level 0: No Capability","Level 1 Initial / Ad Hoc","Level 2 Repeatable","Level 3 Defined"
"Pernyataan di bawah ini yang berkaitan dengan Administrasi Data :","Fungsi yang bertanggung jawab dalam mengelola leseluruhan data dalam organisasi","Fungsi penanganan masalah teknis seperti keamanan, kinerja, dan backup/recovery basis data","Fungsi teknis yang bertanggung jawab terhadap perancangan basis data secara fisik","Mencakup pemilihan perangkat keras dan lunak dalam manajemen data","Meningkatkan kinerja pemrosesan query"
"Pada tahapan apa fungsi Administrasi Data berperan penuh dalam siklus pengembangan teknologi data?","Perencanaan basis data","Perancangan basis data","Implementasi basis data","Operasi dan pemeliharaan basis data","pertumbuhan dan perubahan basis data"
"Pada tahapan operasi dan pemeliharaan, fungsi apa yang bisa dilakukan oeh Data Administator?","Melayani pengguna","backup dan recovey terhadap basis data","pembaharuan DBMS","memonitor kinerja basis data","memaksakan prosedur dan standar"
"Yang merupakan fungsi Data Administrator (DA) pada tahapan Analisis Database :","menentukan konflik-konflik kebutuhan","membuat strategi/kebijakan database organisasi","membuat model biaya/manfaat","membuat arsitektur informasi organisasi","membuat rencana administrasi data"
"Pernyataan di bawah ini yang bukan berkaitan dengan Administrasi Basis Data :","Fungsi yang bertanggung jawab dalam mengelola leseluruhan data dalam organisasi","Fungsi penanganan masalah teknis seperti keamanan, kinerja, dan backup/recovery basis data","Fungsi teknis yang bertanggung jawab terhadap perancangan basis data secara fisik","Mencakup pemilihan perangkat keras dan lunak dalam manajemen data","Meningkatkan kinerja pemrosesan query"
"Perkumpulan konseptual dari seluruh database yang dilihat oleh administrator basis data adalah","skema database","hierarki","model","relasi","fungsi"
"Hak akses database dikontrol oleh …","database administrator","top management","system analyst","system designer","database auditor"
"Yang bukan merupakan peranan baru administrator basis data (DBA)","Perencanaan basis data","Prosedural DBA","e-DBA","Administrasi Data warehouse ","sinkronisasi Personal Datat Asistance (PDA) oleh DBA"
"Yang tidak termasuk dalam permasalahan terkait pengelolaan data ","kenyamanan","keamanan dan identitas data","authority","kualitas data","kesesuaian"
"Manakah yang bukan termasuk permasalahan kualitas data ?","memungkinkan terjadi deadlock","Sumber data yang berasal dari eksternal ada kemunginan tidak akurat, salah, dan tidak lengkap","Penyimpanan data yang redundan","Kekurangan komitmen organisasi","Kekurangan kontrol terhadap privasi dan keamanan  data"
"Transaksi yang mempunyai prinsip bahwa semua operasi database dilakukan atau tidak sama sekali disebut","Atomic","Isolated","Durable","Consistent","Serializable"
"Lock yang tidak memperbolehkan perubahan tapi memperbolehkan read yaitu","Shared lock","Implicit lock","Explicit lock","Permanent lock","Exclusive lock"
"Salah satu jenis permasalahan yang diatasi dalam tata kelola data adalah","Permasalahan dalam perjanjian data sharing","Permasalahan kebersihan fasilitas","Permasalahan kabel jaringan","Permasalahan tata kelola pemerintahan","Permasalahan printer rusak"
"Saat terjadi kegagalan transaksi database, subsistem DBMS akan melakukan….","Data recovery","Concurency control","Access control","Inconsistency Checking","Locking database"
"Availability / Ketersesiaan DB adalah persentase waktu sistem atau database dapat digunakan untuk pekerjaan secara produktif.Ada (4) empat faktor yang mempengaruhi availabitity, yaitu kecuali…","adoptability","manageability","recoverability","reliability","serviceability"
"Kemampuan yang berpengaruh pada database availability untuk mengidentifikasi adanya masalah, mendiagnosis penyebabnya, dan memperbaiki / menyelesaikan masalah adalah","serviceability","adoptability","manageability","recoverability","reliability"
"Terdapat suatu daftar processor sebagai berikut :
amd ryzen 5, ryzn 3, ryzen 3, r7, i5, core i7, core i3 dan pentium.
Agar memudahkan daftar tersebut masuk ke dalam taxonomy maka hal yang pertama harus dilakukan adalah ... .","identifikasi keunikan daftar dan membuatnya menjadi unik","melakukan trimming pada data dengan dua karakter pertama","melakukan trimming pada data dengan dua karakter terakhir","membuat duplikasi pada data tersebut","mencari kata yang paling tengah"
"Terdapat suatu daftar processor sebagai berikut :
amd ryzen 5, ryzn 3, ryzen 3, r7, i5, core i7, core i3 dan pentium 4.
Dari daftar tersebut kata yang memiliki paling banyak sinonim adalah ... .","ryzen","i","core","pentium","amd"
"Kondisi yang dapat menjelaskan suatu node didalam suatu taksonomi atau klasifikasi disebut ... .","Authoritative term","synonim","Collection","Object","Taxonomy"
"Salah satu taxonomy yang menyimpan segala suatu bahasa beserta sinonimnya adalah ... .","wordnet","komputernet","warnet","telnet","letternet"
"Dalam menyusun suatu taxonomy, sejauh manakah yang disebut dengan synonim ... .","suatu kata yang memiliki makna, singkatan yang serupa dan kesalahan ejaan","suatu kata yang memiliki makna yang sama","suatu kata yang memiliki makna yang berbeda","suatu kata yang memiliki singkatan yang serupa","suatu kata yang memiliki makna dan singkatan yang serupa"
"Salah satu format yang dapat menyimpan suatu taxonomy yang memiliki bentuk seperti xml adalah ... .","RDF","n-triple","turtle","csv","xlsx"
"Suatu taxonomy atau ontology yang biasanya mendeskripsikan suatu seseorang, aktifitas dan relasinya disebut ... .","foaf","skos","dublin core","sparql","rdf"
"Penentuan data ingestion secara bacth ataupun real time menggunakan salah satu parameter data ingestion yang disebut ... . ","Data Frequency","Data Size","Data Velocity","Data Format","Data Integration"
"Berikut adalah beberapa tools data ingestion :
1. Apache Sqoop
2. Apache NIFI
3. Apache Kafka
4. Apache Flume
Yang merupakan tools batch data ingestion adalah ... .","1 dan 2","1 dan 3","1 dan 4","2 dan 3","3 dan 4"
"Berikut adalah beberapa tools data ingestion :
1. Apache Sqoop
2. Apache NIFI
3. Apache Kafka
4. Apache Flume
Yang merupakan tools stream (real time) data ingestion adalah ... .","2, 3 dan 4","1 dan 3","1 dan 2","1 dan 4","3 dan 4"
"Incremental Extract/Full Extract dapat dilakukan pada data ingestion apabila ... .","System menyediakan data mana saja yang berubah","System menyediakan push notifikasi terkait perubahan data","Tidak ada data yang berubah pada system","System tidak menyediakan data mana saja yang berubah","System tidak memberikan detail perubahan data"
"https://drive.google.com/file/d/1gxXj39AtxP2EMSMADMkBzgIxJR-bYY-u/view?usp=sharing
Mengubah format atribut jk menjadi L dan P adalah salah satu bentuk transformasi ... .","cleaning","deduplication","summarization","splitting","aggregation"
"https://drive.google.com/file/d/1gxXj39AtxP2EMSMADMkBzgIxJR-bYY-u/view?usp=sharing
Menambah kolom RT yang berasal dari alamat merupakan tahap transformasi ... .","splitting","deduplication","summarization","cleaning","aggregation"
"Beberapa pernyataan terkait efektif loading pada data ingestion :
1. Menambah index pada tabel untuk mempercepat proses loading
2. Menghapus index pada tabel, karena index harus dibuat setelah loading
3. Melakukan single partition pada source data
4. Melakukan partition data sesuai dengan interval waktu
Pernyataan diatas yang benar adalah ... .","2 dan 4","1 dan 3","1 dan 4","2 dan 3","1, 2 dan 3"
