"Pertanyaan","Jawaban Benar","Jawaban Salah 1","Jawaban Salah 2","Jawaban Salah 3","Jawaban Salah 4"
"Fungsi utama audit internal adalam management check adalah","Mengevaluasi efektivitas kerangka kerja keseluruhan pengendalian internal","Memastikan implementasi bug dapat berjalan dengan baik","Untuk melakukan pemantauan terhadap sistem komputer","Membatasi pembuatan laporan keuangan yang dibutuhkan bagi para stakeholder","Membangun lingkungan kerja yang patuh terhadap kontrol"
"Kegiatan evaluasi pelaksanaan pengelolaan data bertujuan untuk …","melakukan inventaris masalah yang timbul untuk kemudian dicarikan solusi atas masalah tersebut","Menyelidiki proses sebab akibat","Untuk memahami pengaruh sosial dan organisasi terhadap sistem","Untuk memahami pengaruh sosial dan politik di dalam sistem","Untuk memahami bagaimana persepsi pengguna mengenai sistem yang belum dibuat"
"kegunaan dari hasil evaluasi pelaksanaan pengelolaan data yang paling tepat adalah …","Kita dapat mengidentifikasi adanya kemungkinan perbaikan proses bisnis untuk meningkatkan kualitas layanan pengelolaan data","Untuk memahami bagaimana persepsi pengguna mengenai sistem yang belum dibuat","Untuk memahami pengaruh sosial dan organisasi terhadap sistem","Menyelidiki proses sebab akibat","Untuk mengetahui seberapa sering pengguna memakai sitem"
"Berikut orang-orang yang melakukan evaluasi, kecuali …","Tim audit berbayar, yang iambil khusus untuk melakukan evaluasi","Tim audit khusus, yang diambil diantara para eksekutif organisasi yang bersangkutan","Timi audit internal, yang mengerjakan unit operasional","Organisasi/ komsultan di luar organisasi","Peneliti"
"Ada 2 teknik umum dalam evaluasi pelaksanaan pengelolaan data yaitu, metode kuantitatif dan metode kualitatif, berikut yang bukan termasik metode Kuantitatif adalah …","Mengguankan wawancara","Menggunakan statistik untuk membuktikan bahwa suatu variabel dipengaruhi variabel lain.","Menggunkan kuesioner yang diolah secara kuantitatif","Kekutannya terletak pada tes statistik","wawasan sempit dan tajam"
"Metode kualitatif umum digunakan dalam evaluasi pelaksanaan pengolahan data, yang tidak termasuk dalam metode ini adalah …","Menggunkan kuesioner yang diolah secara kuantitatif","Mengguankan wawancara","Tidak harus pakai data statistik","Untuk obyektif dilakukan triangulasi","wawasan komprehensif dan luas"
"Yang paling tepat menyebutkan dokumen-dokumen hasil dari evaluasi pelaksanaan pengelolaan data adalah …","Pendahuluan (Latar belakang, tujuan, cakupan dan periode pelaksanaan evaluasi), Pembahasan/uraian (Analisa proses pengelolaan data yang sedang berjalan; pembahasan evaluasi dan kinerja pengelolaan data yang sedang berjalan), Penutup (Kesimpulan, saran dan rekomendasi perbaikan).","Pendahuluan (Latar belakang, tujuan, cakupan dan periode pelaksanaan evaluasi), Pembahasan/uraian (Analisa proses pengelolaan data yang sedang berjalan; pembahasan evaluasi dan kinerja pengelolaan data yang sedang berjalan), Laporan yang memuat analisis mendalam  untuk memperoleh perincian atau laporan teragregasi.","Analisis biaya manfaat dari alternatif desain suatu sistem informasi pada umumnya  dilakukan  atas dasar suatu kompromi, Pembahasan/uraian (Analisa proses pengelolaan data yang sedang berjalan; pembahasan evaluasi dan kinerja pengelolaan data yang sedang berjalan), Penutup (Kesimpulan, saran dan rekomendasi perbaikan).","Laporan tercetak  di kertas atau di layar terminal, Pendahuluan (Latar belakang, tujuan, cakupan dan periode pelaksanaan evaluasi), Penutup (Kesimpulan, saran dan rekomendasi perbaikan).","Pendahuluan (Latar belakang, tujuan, cakupan dan periode pelaksanaan evaluasi), pembahasan evaluasi dan kinerja pengelolaan data yang sedang berjalan, Laporan yang memuat analisis mendalam  untuk memperoleh perincian atau laporan teragregasi."
"Pelaksanaan reviu terhadap dokumen manajemen risiko penting dilaksanakan. Tujuan reviu tersebut yang paling benar yaitu","Kontrol kesesuaian dan ketepatan keseluruhan proses manajemen risiko sesuai ketentuan atau best practice tertentu agar dapat dilakukan perbaikan untuk pelaksanaan berikutnya","Kontrol kesesuaian dan ketepatan proses penanganan risiko sesuai ketentuan atau best practice tertentu agar dapat dilakukan perbaikan untuk pelaksanaan berikutnya","Proses kajian atau reviu secara sistematis dalam menganalisis dan mengevaluasi terkait dokumen manajemen risiko","Proses untuk memastikan bahwa tahapan identifikasi risiko sudah lengkap dan terarah sesuai dengan best practice yang ada","Proses reviu terhadap strategi penanganan risiko (pencegahan dan perbaikan) baik yang sudah dilakukan maupun yang rencana akan dilakukan sudah sesuai dengan  best practice yang ada"
"Waktu yang tepat untuk melaksanaan reviu terhadap dokumen manajemen risiko yaitu","Setiap periode tertentu dan atau insidental","Setiap tahun sekali","Setiap triwulan atau maksimal setahun sekali","Bisa sewaktu-waktu sesuai kebutuhan","Tidak dapat ditentukan waktu yang tepat"
"BPS melakukan reviu terhadap dokumen manajemen risiko setiap 6 bulan sekali. Bagaimanakah kesesuaian pernyataan tersebut dengan teori manajemen risiko?","Pernyataan tersebut benar, karena reviu bisa dilakukan secara periode maupun insidental","Pernyataan tersebut salah, karena reviu harus dilakukan tiap tahun","Pernyataan tersebut benar, karena reviu bisa dilaksanakan minimal 6 bulan sekali","Pernyataan tersebut salah, karena reviu bisa dilaksanakan sewaktu-waktu","Pernyataan tersebut benar, karena reviu hanya bisa dilakukan setiap periode tertentu "
"Cakupan yang harus diperiksa saat reviu dokumen manajemen risiko yaitu","Keseluruhan proses manajemen risiko dari penentuan kontek atau cakupan risiko sampai pencatatan dan pelaporan risiko","Keseluruhan proses manajemen risiko dari identifikasi risiko sampai dengan pengukuran risiko","Keseluruhan proses manajemen risiko dari identifikasi risiko sampai dengan evaluasi risiko","Keseluruhan proses manajemen risiko dari penanganan risiko sampai dokumentasi risiko","Keseluruhan proses manajemen risiko dari penentuan struktur manajemen risiko sampai penentuan tugas dan tanggungjawab risiko"
"Pernyataan berikut ini yang merupakan kegiatan reviu dokumen manajemen risiko yaitu","Melakukan pengecekan dokumen penilaian risiko apakah sudah sesuai dengan kriteria yang telah ditentukan","Melakukan identifikasi risiko-risiko apa saja baik itu positif maupun negatif terkait suatu kegiatan yang sudah direncanakan","Melakukan penilaian atas risiko yang telah diidentifikasi sebelumnya untuk menentukan besaran dan level risiko","Melakukan pengambilan keputusan mengenai perlu tidaknya dilakukan upaya penanganan risiko lebih lanjut","Melakukan penyusunan rencana untuk menangani risiko agar mencapai selera risiko yang telah ditetapkan"
"Melakukan kajian secara sistematis dalam menganalisis dan mengevaluasi terkait dokumen manajemen risiko untuk memastikan kesesuaian proses-proses manajemen risiko dengan best practice yang ada merupakan suatu proses …","Monitoring dan reviu risiko","Identifikasi risiko","Analisis risiko","Evaluasi risiko","Penanganan risiko"
"Pentingnya kegiatan reviu dokumen dalam suatu kegiatan  manajemen risiko yaitu","Memahami setiap proses dalam manajemen risiko agar dapat mengidentifikasi kekurangan dan memberikan usulan perbaikan pelaksanaan manajemen risiko","Memahami setiap proses dalam manajemen risiko agar seluruh risiko baik positif maupun negatif dapat teridentifikasi","Memahami setiap proses dalam manajemen risiko agar rencana penanganan risiko yang telah disusun dapat dilakukan dengan benar saat risiko tersebut benar-benar terjadi","Memahami setiap proses dalam manajemen risiko agar penilaian risiko yang ditentukan sudah sesuai dengan keadaan yang sebenarnya","Memahami setiap proses dalam manajemen risiko agar seluruh proses tersebut dapat terdokumentasikan dengan baik"
"Proses menentukan peluang terjadinya risiko serta dampak, implikasi, dan konsekuensi yang mungkin timbul sehingga dapat diperkirakan kemungkinan kerugian maksimum dari risiko merupakan proses …","Penilaian risiko","Identifikasi risiko","Analisis risiko","Evaluasi risiko","Penanganan risiko"
"Matrik yang berisikan kombinasi antara level kemungkinan dan level dampak yang digunakan untuk menetapkan besaran risiko yaitu","Matrik analisis risiko","Matrik identifikasi risiko","Matrik selera risiko","Matrik kriteria risiko","Matrik kemungkinan dan dampak risiko"
"Pengertian selera risiko / risk appetite yang tepat yaitu","Nilai ambang batas minimal terhadap besaran risiko yang harus ditangani baik itu risiko positif maupun negatif","Nilai ambang batas maksimal terhadap besaran risiko yang harus ditangani baik itu risiko positif maupun negatif","Nilai ambang batas maksimal terhadap besaran risiko yang harus ditangani hanya untuk risiko negatif","Nilai ambang batas maksimal terhadap besaran risiko yang harus ditangani hanya untuk risiko positif ","Nilai ambang batas minimal terhadap besaran risiko yang harus ditangani hanya untuk risiko negatif"
"Angka-angka yang terdapat pada matrik analisis risiko diperoleh dari","Hasil perkalian antara level kemungkinan dengan level dampak, atau angka urut dari 1 sampai maksimal dimensi kemungkinan dan dampak","Hasil perkalian antara level kemungkinan dengan level dampak","Angka urut dari 1 sampai maksimal dimensi kemungkinan dan dampak","Angka acak yang diperoleh dari 1 sampai maksimal dimensi kemungkinan dan dampak","Angka yang telah ditetapkan oleh tim manajemen risiko"
"Suatu risiko A memiliki besaran risiko 16, sedangkan selera risiko yang ditetapkan sebesar 18, maka risiko tersebut …","Bisa diabaikan dan tidak perlu ada penanganan risiko","Perlu penanganan risiko namun hanya sedikit tindakan saja","Bisa diabaikan atau bisa juga perlu ada tindakan penanganan","Semua risiko perlu tindakan penanganan","Bisa dimitigasi agar risiko tersebut tidak terlalu besar dampaknya "
"Jumlah kriteria untuk level kemungkinan dan dampak yang tepat yaitu","Sejumlah yang telah ditetapkan oleh tim manajemen risiko","Harus berjumlah ganjil","Harus berjumlah genap","5 (lima) kriteria","3 (tiga) kriteria"
"Pernyataan berikut ini yang tepat tentang pengukuran risiko yaitu","Penentuan besarnya level kemungkinan dan dampak berdasarkan kriteria yang telah ditentukan","Penentuan besarnya selera risiko terhadap seluruh level risiko","Penentuan besarnya level kemungkinan risiko berdasarkan kriteria kemungkinan risiko yang telah ditentukan","Penentuan besarnya level dampak risiko berdasarkan kriteria dampak risiko yang telah ditentukan","Penentuan besaran risiko dan level risiko yang dibandingkan dengan selera risiko yang telah ditetapkan"
"Kegiatan penyusunan langkah-langkah yang baku dalam menangani atau melakukan mitigasi suatu risiko berdasarkan dokumen strategi penanganan risiko yang telah disusun merupakan kegiatan …","Membuat prosedur penanganan risiko","Membuat tata kelola risiko","Membuat dokumen identifikasi risiko","Menyusun dokumen penanganan risiko","Menyusun dokumen analisis risiko"
"Kegiatan penyusunan beberapa solusi secara teknis yang mungkin untuk dilakukan dalam menangani suatu risiko berdasarkan dokumen strategi penanganan risiko yang telah disusun merupakan kegiatan …","Menyusun solusi teknis penanganan risiko","Membuat prosedur penanganan risiko","Membuat tata kelola risiko","Menyusun dokumen penanganan risiko","Menyusun dokumen analisis risiko"
"Kaitan antara dokumen penanganan risiko dengan dokumen prosedur penanganan risiko yaitu","Dokumen prosedur penanganan risiko menjelaskan langkah-langkah yang perlu dilakukan untuk menangani risiko yang terjadi","Dokumen prosedur penanganan risiko sebenarnya sama dengan dengan dokumen penanganan risiko","Tidak ada kaitan secara langsung antara dokumen penanganan risiko dengan dokumen prosedur penanganan risiko","Dokumen penanganan risiko merupakan pelengkap untuk dokumen prosedur penanganan risiko","Dokumen prosedur penanganan risiko tidak diperlukan karena semua hal telah dijelaskan di dokumen penanganan risiko"
"Kaitan antara dokumen solusi teknis dengan dokumen penanganan risiko yaitu","Dokumen solusi teknis menjelaskan tentang solusi yang diperlukan secara teknis untuk menghindari risiko maupun mengurangi dampak yang timbul dengan adanya risiko tersebut","Dokumen solusi teknis digunakan untuk menghilangkan semua risiko yang ada baik risiko ppositif maupun risiko negatif","Tidak ada kaitan secara langsung antara dokumen penanganan risiko dengan dokumen solusi teknis penanganan risiko","Dokumen penanganan risiko merupakan pelengkap untuk dokumen solusi teknis penanganan risiko","Dokumen solusi teknis penanganan risiko tidak diperlukan karena semua hal telah dijelaskan di dokumen penanganan risiko"
"Salah satu risiko yang dihadapi unit TI yaitu serangan virus. Oleh karena itu disusun daftar solusi yang bisa dilakukan untuk menangani risiko tersebut, diantaranya dengan memasang antivirus, melakukan backup berkala, dsb. Kegiatan tersebut termasuk dalam kegiatan menyusun ...","Dokumen solusi teknis penanganan risiko","Dokumen penanganan risiko","Dokumen prosedur penanganan risiko","Dokumen analisis risiko","Dokumen identifikasi risiko"
"Salah satu penanganan terhadap risiko data yang hilang yaitu dengan melakukan backup data berkala. Oleh karena itu disusun langkah-langkah yang harus dilakukan untuk melakukan backup data setiap jenis DBMS yang ada. Kegiatan tersebut termasuk dalam kegiatan menyusun ...","Dokumen prosedur penanganan risiko","Dokumen penanganan risiko","Dokumen solusi teknis penanganan risiko","Dokumen analisis risiko","Dokumen identifikasi risiko"
"Pernyataan berikut ini yang tidak tepat tentang risiko yaitu","Risiko hanya berupa hal negatif yang dapat menghambat suatu pekerjaan","Risiko terdiri dari risiko positif dan negatif","Kemungkinan terjadinya suatu peristiwa yang berdampak negatif terhadap pencapaian tujuan","Peristiwa yang dapat menghambat suatu pekerjaan dan memiliki dampak yang nyata","Dapat juga berupa potensi yang dapat dimanfaatkan untuk peningkatan suatu kegiatan"
"Yang menjadi pendorong utama aktivitas keamanan data adalah","pengurangan risiko dan pertumbuhan bisnis","peningkatan merek","kerugian instansi","perubahan infrastruktur","kesalahan di masa lalu"
"Kebutuhan kemanaan data berasal dari beberapa sumber. Non-disclosure agreement merupakan contoh kebutuhan keamanan data yang berasal dari","kewajiban kontrak","pemangku kepentingan","peraturan pemerintah","urusan kepemilikan bisnis","kebutuhan akses yang sah"
"Kebutuhan dan prosedur keamanan data dikategorikan ke dalam empat grup yang sering disebut dengan empat A.
1. Access,
2. Audit,
3. Authentication, dan
4. Authorization.
Selain empat A tersebut terdapat satu E yang ditujukan agar kepatuhan terhadap regulasi keamanan data dapat berjalan efektif. Satu E tersebut adalah","entitlement","efficient","empowerment","encouragement","engagement"
"Aktivitas kemanan data dapat dikelompokkan ke dalam tahapan planning (P), control (C), development (D), dan operations (O). Yang termasuk aktivitas planning (P) adalah","mengidentifikasi kebutuhan keamanan data yang relevan","mendefinisikan kebijakan keamanan data","mendefinisikan standar keamanan data","melaksanakan kontrol dan prosedur","mendokumentasikan pelaksanaan"
"Aktivitas kemanan data dapat dikelompokkan ke dalam tahapan planning (P), control (C), development (D), dan operations (O). Menyusun standar keamanan data termasuk dalam kelompok ...","development","control","planning","operations","tidak termasuk dalam kelompok manapun"
"Berikut ini merupakan input yang dibutuhkan dalam aktivitas keamanan data","1. tujuan dan strategi bisnis
2. aturan dan proses bisnis
3. kebutuhan peraturan
4. standar srsitektur instansi
5. model data instansi","1. tujuan dan strategi bisnis
2. aturan dan proses bisnis
3. kebutuhan peraturan
4. arsitektur keamanan data","1. tujuan dan strategi bisnis
2. aturan dan proses bisnis
3. kebutuhan peraturan
4. model data instansi
5. kebijakan keamanan data","1. tujuan dan strategi bisnis
2. aturan dan proses bisnis
3. kebutuhan peraturan
4. arsitektur keamanan data
5. kebijakan keamanan data","1. tujuan dan strategi bisnis
2. aturan dan proses bisnis
3. arsitektur keamanan data
4. kebijakan keamanan data
5. kontrol akses keamanan data"
"Klasifikasi keamanan elemen data merupakan bagian penting dari definisi data adalah penjelasan dari prinsip keamanan data:","berbasis metadata","akuntabilitas yang jelas","mengurangi risiko dengan mengurangi eksposur","kolaborasi","pendekatan instansi"
"Aktivitas kemanan data dapat dikelompokkan ke dalam tahapan planning (P), control (C), development (D), dan operations (O). Mengimplementasikan kontrol dan prosedur keamanan data termasuk dalam kelompok ...","operations","planning","development","control","tidak termasuk dalam kelompok manapun"
"Aktivitas kemanan data dapat dikelompokkan ke dalam tahapan planning (P), control (C), development (D), dan operations (O). Yang termasuk aktivitas operations (O) adalah","mengimplementasikan kontrol dan prosedur","mengidentifikasi kebutuhan keamanan data yang relevan","mendefinisikan standar keamanan data","menyusun kebijakan keamanan data","mendokumentasikan pelaksanaan"
"Di dalam keamanan data terdapat teknik yang disebut dengan document sanitization. Document sanitization adalah","proses cleaning metadata","proses enkripsi dokumen","proses cleaning data","anonimisasi","pemusnahan dokumen"
"Proses menerjemahkan teks biasa menjadi kode kompleks untuk menyembunyikan informasi istimewa, memverifikasi transmisi lengkap, atau memverifikasi identitas pengirim dalam keamanan data disebut","enkripsi","dekripsi","modifikasi","anonimisasi","injeksi"
"Yang tidak termasuk metode enkripsi adalah","masking","hash","symmetric","private-key","public-key"
"Jenis masking yang mengubah data secara permanen dan dilakukan ketika data tersebut berpindah dari lingkungan sumber (biasanya production) ke lingkungan tujuan (biasanya non-production) adalah","in-flight persistent masking","in-place persistent masking","in-flight dynamic masking","in-place dynamic masking","in-line dynamic masking"
"Menukar elemen data dengan tipe yang sama dalam sebuah record, atau menukar elemen data dari satu atribut antarbaris misalnya dengan menukar nama instansi dengan nama instansi lain merupakan metode masking yang disebut","shuffling","substitution","temporal variance","value variance","nulling atau deleting"
"Cocokkan pernyataan berikut ini:
1. Model data relasional 
2. Model jaringan 
3. Model hierarki 
(a) Merupakan database sebagai kumpulan tabel
(b) Mewakili data sebagai struktur pohon
(c) Mewakili data sebagai jenis catatan (record)
","1-a, 2-c, 3-b","1-c, 2-a, 3-b ","1-b, 2-c, 3-a","1-b, 2-a, 3-c ","1-a, 2-b, 3-c"
"Cocokkan pernyataan berikut ini:
1. DDL 
2. SDL 
3. VDL 
4. DML 
(a) Memanipulasi basis data
(b) Menentukan tampilan pengguna dan pemetaannya
(c) Menentukan skema internal
(d) Menentukan skema konseptual dan internal atau skema konseptual saja
","1-d, 2-c, 3-b, 4-a","1-a, 2-c, 3-d, 4-b","1-b, 2-d, 3-a, 4-c","1-c, 2-d, 3-a, 4-b","1-a, 2-b, 3-c, 4-d"
"Kemandirian data (Data independence) memungkinkan untuk
(i) tidak ada perubahan dalam program aplikasi
(ii) perubahan database tanpa mempengaruhi program aplikasi
(iii) perangkat keras yang akan diubah tanpa mempengaruhi program aplikasi
(iv) perangkat lunak sistem diubah tanpa mempengaruhi program aplikasi"," (ii), (iii), (iv) ","(i), (ii) ","(ii), (iii)","(i), (ii), (iv)","(i) saja"
"Yang  dimaksud dengan integritas data adalah","mempertahankan nilai data yang konsisten ","nilai data terintegrasi","melarang akses yang tidak benar ke dalam data ","tidak membocorkan nilai data","menggabungkan nilai data"
"Bagian dari model data logis yang diakses oleh pemrogram disebut ","model data eksternal","model data konseptual","model data internal ","model data relasi entitas","penyimpanan data fisik"
"Ketika model logis dipetakan ke dalam penyimpanan fisik seperti penyimpanan disk, model data yang dihasilkan dikenal sebagai","model data internal ","model data konseptual ","model data eksternal","model data disk","Model data object"
"Tanggung jawab administrator database meliputi
(i) pemeliharaan kamus data
(ii) memastikan keamanan database
(iii) memastikan privasi dan integritas data
(iv) membuat model ER
","(i), (ii), (iii)","(i), (ii)","(i), (ii), (iii)"," (ii), (iii), (iv)","(i) saja"
"Urutan yang diikuti dalam mendesain DBMS adalah","model konseptual, model logis, model fisik","model fisik model, konseptual, model logis","model konseptual, model logis, model fisik","model konseptual, model fisik, model logis","model fisik, model logis, model konseptual"
"Manakah dari berikut ini yang benar?","Skema database ditentukan selama desain database","Skema database sering berubah, tetapi status database tidak berubah","Skema database sering berubah","Skema database lebih sering berubah daripada status database","Skema database selalu tetap"
"DBMS yang mendukung database yang terletak di beberapa situs disebut DBMS...","terdistribusi","multi-user","terpusat","single-user","jaringan"
"Cocokkan pernyataan berikut ini:
1. View level  group
2. Conceptual level for community of users
3. Internal level
(a) Menjelaskan bagian dari database untuk pengguna tertentu
(b) Menjelaskan struktur database secara keseluruhan
(c) Menjelaskan bagian dari database untuk kelompok pengguna tertentu","1-c, 2-b, 3-a","1-b, 2-c, 3-a","1-b, 2-a, 3-c","1-a, 2-c, 3-b","1-a, 2-b, 3-c"
"Beberapa implementasi DBMS terdistribusi mendukung beberapa platform, sistem operasi, dan jaringan, dan mengizinkan ....","akses jarak jauh dengan hanya read-only","akses jarak jauh dengan hak menulis (write)","jumlah database berbeda yang tidak terbatas yang dapat diakses","akses ke model database apa pun","akses jarak jauh dengan hak membaca dan menulis (read and write)"
"Berikut ini manakah yang merupakan komponen perangkat lunak yang berada di setiap komputer yang menyimpan dan mengambil data yang ada di situs?","Data processor","Transaction processor","Network processor","Information processor","Memory processor"
"Dari pemartisian berikut ini, manakah yang mendistribusikan kolom tabel menjadi beberapa catatan fisik terpisah?","Vertical","Horizontal","Final","Crossways","Crossover"
"Manakah dari sistem database terdistribusi berikut yang hanya mengintegrasikan satu jenis DBMS terpusat melalui jaringan?","Homogeneous","Heterogeneous","Fully heterogeneous","Combination","Terdistribusi"
"Mendistribusikan baris data menjadi file terpisah disebut","horizontal partitioning","vertical partitioning","file allocation","normalization","random parizioning"
"Komponen perangkat lunak yang biasanya diperlukan untuk membangun database terdistribusi adalah
(i) Data processor 
(ii) User processor
(iii) Network transparency 
(iv) DDB
(v) Operating system support
Manakah dari pernyataan di atas yang benar?","(i), (ii), (iv)","(i), (ii), (iii)","(ii), (v)","(iv), (v)","(i), (ii)"
"Dalam _______________ sistem penguncian global diperlukan.","Shared disk architecture","Shared memory architecture","Shared nothing architecture","Shared memory architecture dan Shared disk architecture","semua arsitektur"
"Dalam arsitektur shared nothing, setiap CPU memiliki salinan sendiri dari","DBMS","Porsi data yang dikelola oleh DBMS","Sistem operasi","Semua","Tidak semua"
"Sistem manajemen basis data terdistribusi penuh tidak perlu","tunduk pada kompleksitas manajemen","melakukan semua fungsi DBMS terpusat","menjalankan fungsi tambahannya secara transparan kepada pengguna akhir","menjalankan fungsi tambahan pada DBMS terpusat","menangani semua fungsi penting yang diberlakukan oleh distribusi data dan pemrosesan"
"Yang bukan merupakan tujuan perlu  dilakukan pengukuran kinerja TI adalah  ","Terbentuknya arsitektur teknologi dan aplikasi yang menjadi target organisasi ( Target Architecture)","Mengetahui sejauh mana pemanfaatan investasi TI dalam mendukung kebutuhan organisasi","Agar pimpinan bisa mengetahui seberapa baik TI bisa berkontribusi pada kelangsungan bisnis organisasi","Dapat menjadi dasar perencanaan program atau proyek  TI ","Dasar pengadaan atau investasi TI"
"Melakukan pengukuran kinerja TI merupakan kegiatan membandingkan hasil kinerja TI secara aktual terhadap...","Key Performance Indicator (KPI) yang telah ditetapkan ","Hasil evaluasi dan koordinasi seluruh pemangku kepentingan di unit TI","Kapabilitas fungsi TI","Proses bisnis yang didukung oleh kinerja TI terkait",""
"Yang bukan merupakan sasaran penilaian performa TI adalah ","Arsitektur target aplikasi dan infrastruktur TI","Efisiensi penggunaan sumber daya dalam mendukung operasional layanan TI","Efektivitas setiap proses dan atau aktivitas dalam layanan TI","Kualitas layanan TI","Optimalisasi proses "
"Dalam mengukur performa TI, pengukuran tingkat ketercapaian tujuan dan sasaran strategis TI dan organisasi dapat diimplementasikan secara optimal dan mencapai hasil yang maksimal jika unit TI sudah menentukan hal berikut","Indikator dan ukuran kinerja yang jelas","Sumber daya yang terlibat dalam aktivitas pengukuran ","Framework atau kerangka kerja pengukuran ","Rencana evaluasi hasil pengukuran ","Daftar teknologi yang akan digunakan "
"Yang bukan termasuk tahapan kegiatan pengukuran performa TI adalah ","Audit TI","Analisa Data","Pengumpulan Data","Pengolahan data TI","Evaluasi hasil pengukuran "
"Mengetahui hasil kinerja IT berdasarkan cara pandang user menilai merupakan salah satu cara untuk mengukur performa TI berdasarkan IT Balanced Scorecard menurut perspective....","customer orientation","Coorporate contribution","operational exellence","Future Orientation ","Financial Contribution"
"Salah satu tujuan dari kegiatan pengukuran kinerja TI adalah melakukan penilaian terhadap kinerja TI. Hal berikut adalah bukan termasuk tujuan dilakukannya penilaian terhadap kinerja TI","Mendefinisikan proyek-proyek dan program TI serta cakupannya ","Meningkatkan visibilitas pada hasil yang akan diperoleh dari rencana TI yang sudah disusun ","Memperlihatkan korelasi yang jelas antara strategi institusi ","Memperlihatkan pengukuran secara kuantitatif terhadap rencana pengeluaran institusi ","Memperlihatkan dampak dan hubungan operasional TI terhadap anggaran atau keuangan institusi "
"Pengukuran performa TI dilakukan agar investasi TI yang sudah dilakukan dapat pertanggungjawabkan. Hal ini disebut juga dengan perspektive...","Akuntabilitas","Fleksibilitas ","Legalitas","Prioritas","aktivitas"
"Model yang digunakan untuk mengumpulkan kebutuhan pelanggan
terhadap perangkat lunak yang akan dibuat, dan merupakan program
yang belum jadi adalah model ... .","Prototipe","Internal","External","Jadi","Definitif"
"Suatu kumpulan pekerjaan yang saling terkait untuk menyelesaikan
suatu masalah tertentu disebut ... .","Bisnis Proses","Functional Requirement","Non Functional Requirement","Use Case","UML"
"Diagram tulang ikan yang berisikan sebab dan akibat dari sistem yang lama disebut ... .","diagram ishikawa","diagram pieces","diagram UML","diagram ERD","diagram relational"
"Seseorang ingin mengetahui sistem informasi yang dibuat harus sesuai dengan user yang menggunakannya. Untuk membantu menggambarkan hal tersebut, seseorang harus membuat ... .","use case diagram","data flow diagram","fishbone diagram","ishikawa diagram","sample diagram"
"Seseorang ingin mengetahui permasalahan-permasalahan yang terjadi pada sistem lama beserta penyebabnya, tools yang dapat digunakan untuk menggambarkan hal tersebut adalah ... .","diagram ishikawa","diagram pieces","diagram UML","diagram ERD","diagram relational"
"Seseorang ingin mengetahui jalannya suatu proses bisnis didalam sistem aplikasi, dari data yang berasal pada konsumen hingga tersimpan pada media database. Tools yang dapat digunakan untuk menggambarkan hal tersebut adalah ... .","data flow diagram","diagram ishikawa","diagram pieces","diagram UML","diagram ERD"
"Model yang digunakan dengan pendekatan alur secara sequential yang
dimulai dari Analisa, desain, pengkodean hingga pengujian adalah
model ... .","Waterfall","Agile","RnD","Prototipe","Network"
"Salah satu aplikasi dari apache yang dapat dimanfaatkan sebagai unit testing adalah ... .","Junit","Jmeter","Spark","Hadoop","Kafka"
"Salah satu pengujian yang menitikberatkan pada input,output serta memperhatikan proses didalamnya disebut ... .","white box testing","red testing","alpha testing","integration testing","black box testing"
"Pengujian perfomance aplikasi yang telah dapat dijalankan merupakah salah satu bentuk requirement ... .","non fungsional requirement","fungsional requirement","adaktif requirement","special requirement","non spesial requirement"
"Salah satu aplikasi dari apache yang dapat dimanfaatkan sebagai performance testing adalah ... .","Jmeter","Spark","Hadoop","Kafka","Junit"
"Salah satu pengujian yang menitikberatkan pada input dan output tanpa memperhatikan proses didalamnya disebut ... .","black box testing","white box testing","red testing","alpha testing","integration testing"
"Salah satu metode pengujian dimana menguji hanya pada salah satu fungsi yang sudah sesuai dengan input dan outputnya disebut ... .","unit testing","beta testing","performance testing","integration testing","acceptance testing"
"Berikut terdapat beberapa bukti fisik:
1. Nama dan deskripsi kegiatan
2. Langkah-langkah pengujian validasi terhadap hasil analisis kebutuhan
informasi
3. Hasil Pengujian yang sudah dilakukan
4. Kriteria validitas kebutuhan informasi
5. Hasil evaluasi dan dokumentasi terhadap hasil pengujian prosedur validasi
kebutuhan informasi
Hal yang termasuk ke dalam bukti penyusunan prosedur pengujian validasi kebutuhan informasi adalah ... .","1, 2, dan 4","1, 2 dan 5","2, 3 dan 4","2, 3 dan 5","3, 4 dan 5"
